Username	TimeStamp	ThumbUp	ThumbDown	Comment	Url	Media
Ian	9 hours ago	3	0	The economy will reopen because the sad truth is that you cannot afford to keep people idle with 25,000 Billions of debt on your books. It is a paradox that the Main Street begins rioting to be released from the lockdowns and get back to work to start paying off the debt that Wall Street + FED amassed, while Wall Street folks don't mind being locked down on their yachts and private islands, lol.  In the meantime Trump:	[]	['https://media.tenor.com/videos/7de00b4f94cdc35531caec2b76036df1/mp4']
Marcelo	9 hours ago	2	1	Markets will continue going up folks, any downside is to be bought, we already know how this works by now. Just inject more money into the system and boom.... problem solved. I believe a deflationary cycle would be much more damaging to American families than this stagflationary cycle. Soon to come will be a sort of crypto managed by the federal government to simplify the debasing of the dollar. GLTA	[]	[]
Dennis	9 hours ago	1	1	The feds not going to let the stock market go back down. the stock market is on its way to being as much under fed control as the bond market .	[]	[]
Joemama630	10 hours ago	3	0	Reiterating what a lot of folks have said here ... this market doesn't make sense. Apparently, the large tech companies are up the most and largely due to ETF buying... the question is whether the Fed is buying those ETFs and from my understanding that is very possible.  But here is the skinny on consumer spending. Interestingly enough ... this was posted 4/15 Wednesday - the only day the market dropped this week.  Clothing sales are down 50% for March in which the shut down was arguably at just a week or two on average and in some areas no shut down as some are not yet shut down.  Many say this is just the beginning as this shutdown is likely to continue through May - definitely through April. And there are travel destinations that are literally shut down for many months to come as they simply do not have the nearby resources to help manage a breakout of the pandemic in that area (e.g. hospitals beds, healthcare providers, ventilators, etc).  More	[]	[]
Mikkel	11 hours ago	5	0	Japan and Singapore thought they had the virus under control and infections shot up once they eased restrictions. USA barely has anything under control and we want to ease restrictions? This will end well	[]	[]
Vincent	11 hours ago	1	0	Watch for companies that take no conditional bailout money. Those are the good companies that will not be handcuffed with share buyback restrictions.	[]	[]
Mikkel	11 hours ago	2	0	Drumpf will do anything he can to prop this baby up. Its him vs reality	[]	[]
samd	12 hours ago	0	0	At this speed s&p will be 5k by the year end. Guess all investors will be drenching with mullas.	[]	[]
mark	17 hours ago	1	0	This is how;  BlackRocks CEO Larry Fink may now be the most powerful man in the world, overseeing not just the Feds new (potentially $4.5 trillion) corporate slush-fund, but also managing $27 trillion of the global economy (even before the March appointment). As the worlds largest asset manager, BlackRock already was managing $7 trillion for its global corporate investor-clients, along with another $20 trillion for clients through its financial risk-monitoring software (called Aladdin).	[]	[]
joe	17 hours ago	1	0	what if S&P 500 goes over 2885???????? big squeeze or confrontation ?????? it's not as easy as TA claims !!!!!!!	[]	[]
Sven	17 hours ago	1	1	After the initial panic sell-off, stocks are going up but the economy looks terrible. That is due to the fact that stock markets always anticipate. However, only time will tell whether they anticipate correctly or not. The only thing we can do is assess the risk and reward of the situation, look at the long-term likelihood that there will be more and more money in the system due to printing and budged deficits and that consequently, prices of real assets like stocks, good real estate and limited services will go up. It is key to differentiate between the short-term lock-down impacts and long-term consequences of $2 trillion yearly budged deficits, for example. It is likely that good businesses will survive and that their prices as financial assets will go up due to currency value loss. As would Buffett say, invest where you have tailwinds, even if it is inflation in this case, financial asset inflation. More In today's stock market news we discuss why the stock market continues to go up even if the economic news is terrible, with the unemployment rate back to the... In today's stock market news we discuss why the stock market continues to go up even if the economic news is terrible, with the unemployment rate back to the... www.youtube.com	[]	[]
AR	18 hours ago	1	1	some strong stocks about to hit a double top.. reality is about to set in and could be a multi year move down. . 1929 all over again.. time to find a new bubble. .. the resturants just got baked.. carry out for the next 18 months. .	[]	[]
Agentkagent	19 hours ago	1	0	Think about the real effect of coronavirus: in the last 4 weeks, 22 million jobs were lost. But sp500 went back to almost 3000, a normal level before the coronavirus. Something is Not right.	[]	[]
Dr. Sara	21 hours ago	3	0	Revenues and income doesnt matter another in the game of stocks. Its about buying and selling from now on. Or has it always been like this? We are in a time where share prices are manipulated at the highest level. The fed has now taken over the world. Sell everything you have and be run! Because they are coming for your money soon.	[]	[]
Yoav	22 hours ago	2	3	CoronaVirus is not the most important subject. The irrational mass hysteria is the most important subject. As prof' Yoram Lass explained today it kills mostly very ill people and the cause of death is not CoronaVirus. The panic encouraging media and social networks decide its the CoronaVirus even if the desist had level 4 terminal cancer. Clearing those cases - you have less than seasonal flu. So it is not the most important case.	[]	[]
Agentkagent	23 hours ago	0	1	The virus is spreading in the community, record number of people get infected, and died, there is no sign it will stop. Why are these people buying stocks?	[]	[]
TheCanadianInvestor	23 hours ago	0	0	buy the rumor sell the news. this market will start to drop once things start opening back up	[]	[]
