Username	TimeStamp	ThumbUp	ThumbDown	Comment
I Will Make Some Money	9 hours ago	3	1	How many here have been unemployed for at leat a year or two?
Mach2	9 hours ago	4	1	Meanwhile new COVID-19 cases holding around 30 thousand per day and New York added another record for dead. But the market is up yippee!
BeScared	10 hours ago	3	0	Red Pill-  I'm only offering your the truth Neo.  NO MORE BAILOUTS, HELP THE INDIVIDUALS/FAMILES direct check to your homes, Figure it out CORPORATIONS/HEDGEFUNDS/BILLIONAIRES!Blue Pill-  Go back into the 2008 matrix, you wake up and forget everything.  Government bails out corporations and hedge funds, and screws over Joe public with this final statement, "we did give you crackers and cheese, to go with your wine."
Valerio	10 hours ago	1	4	Who think this is going to rally in the last 10 mins?
I Will Make Some Money	10 hours ago	5	0	350 points in a week, recession? what recession? best economy ever, even though no one will be alive to enjoy it.
I Will Make Some Money	10 hours ago	7	0	Hey Powell, Print a couple more trillions we are losing steam here! Longs won't need respirators they will breathe from inside this bubble.
Joe	10 hours ago	5	0	Thats it! Back to reality.
Oliver	10 hours ago	9	0	We are back below the 50% retracement! Quick, make it rain, FED!
Mach2	10 hours ago	0	0	Ben Bernanke thinks the market looks grim over the next 12 months.
BeScared	10 hours ago	9	0	AGAIN I ASK!  Are there any humans left on the stock market floors? Who really has control over the computers?
CR	10 hours ago	4	0	Market acts like one big biotech company, for which earnings dont matter, only the pipeline
Ricky	10 hours ago	0	0	My strategy is always leave atleast 50 percent of your money in the market. Gamble on the highs and lows with the other 50 percent. I did that with the other 3 crashes. Did I make alot of money? Not really but I do not regret it.
BeScared	10 hours ago	4	1	J. POWELL- HISTORY WILL HOLD YOU ACCOUNTABLE!  THE WORST FED CHAIR IN HISTORY!1. COMPANIES PULL GUIDANCE FOR THE REST OF THE YEAR2. REVENUES, WHAT REVENUES?? 3.  Suppression of REAL JOBLESS CLAIMS BY BLOCKING THE REPORTING OF THE PUBLIC.4.  The consumer, oh ya  WHAT CONSUMER???  "Where he at?"THE FED just said no guarentee that the american consumer will return to their free spending.ETC.RESULTS...  LET'S CREATE A MULTI-SECTOR BALLOON, DON'T WORRY KEEP PUMPING THAT BALLOON UP IT'S LIMITLESS!No you foolish politicians and so called PHD economists!  This is exactly the setup I am predicting.  Watch this BALLOON POP!BIG CORPORATE AND HEDGE FIRMS SHOULD NEVER GET BAILED OUT!  THEY DON'T NEED ANOTHER FERRARI OR A VACATION IN THE HAMPTONS
Ricky	10 hours ago	4	0	The market can fool some of the people sometimes. For those that were all in, and for those that were all out got fooled. Buy the dips, sell the highs.
Kumar	10 hours ago	0	2	Going long today lost way too much
Mustacho	10 hours ago	0	3	I fought the Fed and the Fed won. I fought the Fed and the Fed won. Who knew that Bobby Fuller was an economist?
James	10 hours ago	28	2	Things now are actually worse than the financial crisis. But the market is up 400% from those levels.
BeScared	10 hours ago	7	0	The BULLSHIPWRECK market.   Chamath Palihapitiya CEO Social Capital interview today on cnbcs halftime show
John	10 hours ago	2	0	Restaurants, hotels, cruise ships, casinos, airlines, buy, buy, buy!!!!!!!  Going to the stratosphere!!!!!!
John	11 hours ago	3	6	Just went all in to the market! S&P 500 headed to 5,000 with the unlimited QE and stimulus!  Don't miss out!
James	11 hours ago	7	0	Thanks FED for giving more money to rich Wall Street as Main Street suffers!
paulino	11 hours ago	4	1	just loaded the spxs at 11.68 ( triple bear sp500)
paulino	11 hours ago	6	1	sp500 eps will be down 20% at least in2020 so that is $130at 2800 , trades at 21.5x  forward PE that is insane .....
paulino	11 hours ago	9	1	FIB 50 retrace from lows... 3400 to 2200 = 2800 time to short again
zz	11 hours ago	2	0	The one thing the elites and their banks should actually do to help a ton of lower and middle income people with their cash flow is to cap all existing credit card interest at 9% for the next 12 months.
Anthony	11 hours ago	1	1	ALL OF YOU ON HERE HOPING FOR THE WORLD TO COLLAPSE SHOULD TAKE UP ANOTHER HOBBY. BULLS ALWAYS BEAT BEARS
Morgan	11 hours ago	5	1	What a joke!!! I am no professional but something is off here...
mark	11 hours ago	6	1	Keeps bouncing off the 50% retrace. Cant seem to break through. Its down from here.
Gshaun	11 hours ago	8	2	Average Bear market is about 14 months and recession is 11 months. We are in week 5 right now - absolutely scary. There is still a-lot of damage left to be done and Trump knows it.There are now 17 million unemployed in this country. People will start defaulting on home & auto loans here soon. People are thinking about surviving at this point. They aren't thinking about buying homes, iphones, cars, nikes, and other consumer goods. Trump is a con man and has the IQ of a rock. The economy is no where near opening up at this point. Please vote him out of office in November. Worst president in US history and the data proves it! How can you defend him at this point? He said on national TV it was a Hoax and a liberal conspiracy. He downplayed and didn't take it seriously. It allowed this virus to destroy our American way of life.
G	11 hours ago	2	1	the trend is up, never mind how bad this economy is...
nastydog	11 hours ago	3	0	In another unrelated news "NY bringing in more funeral directors after record deaths"
Shalashvili	11 hours ago	1	0	I think it will fluctuate around 2,700 until earnings kick into game
Tomer	11 hours ago	3	2	going down
zz	11 hours ago	1	2	I tried to tell you clowns days ago that the Fed was going to backstop all of this. They are the external US tier of a Western financial system that has been in place for hundreds of years and it is what is going to happen. This system has survived much worse than this.  It doesn't matter whether you like it or not.
Michael	11 hours ago	2	0	"America was not made to be closed down"...translation "BACK TO WORK SLAVES!!!!" lol
Mandalorian	11 hours ago	1	0	Anyone catch C. Palihapitiya's interview. I believe He's right on everything He said. Well Said, You might want to listen to him
James	12 hours ago	2	0	MMs do like to pump this more over thinly traded lunch. What a scam!
Joe	12 hours ago	5	0	beat market rally https://www.ft.com/content/0e9656b7-3693-46d7-b46f-d065e1550e6d
Michael	12 hours ago	6	1	I did not miss the bottom!!!-30% is garbage.I'm waiting for another black swan event that will bring this entire thing down to -60% at least.I need circuit breakers activated again.I'm waiting for Kim to launch a nuke, another 9/11, Iran to nuke Tel-aviv, alien invasion, asteroid deep impact Extinction Level Event, ANYTHING!!!!I will not be denied my -60% entry!!
James	12 hours ago	5	1	Another big up day on really low volume.
James	12 hours ago	5	0	Stock market is a complete joke and everyone knows it. FED pumping this up like a balloon. Company earnings are going to be in the toilet.
Andrew C.	12 hours ago	4	0	Global recession? What global recession? Stocks almost back to all time highs.
George	12 hours ago	5	1	US Stock prices are going up, while the GDP is going down like a rock.
Jared	12 hours ago	3	1	This is amazing!  Doesnt matter how much more the Fed injects into the economy or what Saudia Arabia-Russia decide on with respect to cuts in output, the real economy is in a depressed state. Earnings matter. Spending by consumer matters. Permanent layoffs matter. I cant stop shaking my head at people who are still buying into the market. If we all took a magic pill today that would cure us of or prevent us from getting COVID-19 then there will still be an ENORMOUS negative GDP growth rate this year. Fed cant fix that. This will be remembered as the most irrational exuberance in history.
Joe	12 hours ago	9	2	If youre long this market, golden opportunity to sell and avoid the huge losses coming. Market will retest the lows. Way too soon to exit a bear market when 20+ million out of work. SPX sub 2000 within weeks.
juancajuanca	12 hours ago	1	0	I guess the end of the world and judgement day are all priced in too. The market is always forward looking they say
DERKO	12 hours ago	5	0	dont' fight the FED!!!!
Bobby	12 hours ago	2	0	it can't break much past 2800 down the slope we go
Bryan	12 hours ago	1	4	2800-2880 is where we stalled for a long time on the way up to 3300. Hopefully we push right through it this time.
mark	12 hours ago	2	0	Does the fed have a couple more trillion to throw at the market when next Thursdays jobs report comes out?
tom	12 hours ago	0	3	Lol at all the bears keep waiting for your double bottom we will blast through 281 and on to 285 soon.
Michael	12 hours ago	5	1	I hope all the arrogant longs on here get severely burned in the coming months. Seriously.-30% was the bottom? That was it??Really?I missed the bottom?? lolNah, I don't think so. I'm patient. You guys will get slayed when the gravity of the situation fully manifests in the next 3 months or so.
Andy Stacks	13 hours ago	1	0	More than 16 million Americans have now lost their jobs in three weeks, that is 10% of the US workforce. But the markets are happy lol wth
Sterling	13 hours ago	2	2	Coronavirus is basically a nothingburger story and that's what the market is reacting to, along with pumping by the fed. 60,000 deaths is nothing when we priced in a million. Yet people are completely overlooking the bigger economic challenges we're facing. They think that we haven't artificially introduced sweeping ineffeciencies into an already vulnerable economy. "Stop talking about unemployment." Ok, unemployment is the tip of the iceberg, we have shortages in the most advanced economy in the world. We could be on the brink of an energy crisis thanks to our domestic producers having to fight the Saudis, Iran, Russia and our own GD government just to produce in the states. We killed coal and now oil and gas is in a dire place. What happens when we kill American agriculture and the 58 year old avg US farmer finally throws in the towel after hemorrhaging money the last three years? Do we really think we can systematically dismantle all of America's tangible production of goods with no negative effect? We are sitting on a literal mountain of corporate debt, personal debt and government debt. What's the light at the end of this tunnel?
Tom	13 hours ago	5	0	SELLrun is over going short here......................
DERKO	13 hours ago	0	4	4000 by end of 2020!!!! market has priced in no earnings for 2020 market is ahead looking at 2021!!! bullish!!!
Bobby	13 hours ago	2	2	it's over folks get off this train wreck I took my 19k-24k down run. here comes the dip look at Shanghai index if you wanna predict the futue
Dan	13 hours ago	1	0	lol.  stocks are up?? just wait for earnings...
Jay	13 hours ago	2	0	Come on....  Doesn't all the great news warrant at least 3,000 today and then 3,300 on Friday.  Next week we break all time highs and zoom to 3,600!!!  Yeah baby...  love making money while the world burns.
Michael	13 hours ago	3	0	Jay Powell -- the new Easter Bunny!
Vincent	13 hours ago	1	1	If you want to see what the U.S. will be like under Democratic control, watch Atlas Shrugged, parts I, II, and III available free on YouTube.
LawRance	13 hours ago	2	0	US market is going crazy
Heat Wave	13 hours ago	7	0	So another staggering job loss number and then within minutes the FED announces another 2.3 trillion from nowhere. That is so fake and planned just to keep all these debt loaded companies propped up.
tom	13 hours ago	3	0	I wonder if little Jerome sleeps well at night knowing the human tragedy he has caused?Must be tough!
Noon Rider	13 hours ago	2	0	What the hell is going on LOL!!
CONVERTED TRUMPTARD	13 hours ago	1	0	Banks like Citigroup (C) will report earnings next week that will be very bad!  0 interest rates nobody paying mortgages or rents...no deposits its going to be very bad!  Book profits and open put option protection
CR	13 hours ago	2	0	Wow, highest unemployment claims and gdp drop in history, and this thing is close to all time highs? How many lives does this market have? From what I counted, it was supposed to die three times in the past 18 months.
mark	13 hours ago	1	0	Bounced off the 50% retrace.
SuperSonic	13 hours ago	3	0	Just dont fight the fed. You know you are gonna lose sooner or later
CB01	13 hours ago	0	2	Simply put, the recovery plan is to get the winners back to work as soon as possible and to cocoon the losers.
Mandalorian	13 hours ago	2	1	Restance at 2803. This is 100% Fed Buy the Market, the sole reason for move back to new highs made in the FALL of last year!
Mandalorian	13 hours ago	3	1	Nobody given a chance to Buy at the lows. It's just gone straight back up to OVERVALUED areas.
Mandalorian	13 hours ago	4	1	Market is OVERBOUGHT here
Freedomfighter	13 hours ago	0	0	For people who unemployed.  Can get loan and deferring mortgage payment?
Tom	13 hours ago	4	1	Short here now........................
Justin Y	14 hours ago	0	2	Well the feds are officially done pumping, the stock market can now fall 200 points or 300 and it will be like last week
Bunny	14 hours ago	1	3	I have trust and faith in Fed. You have to trust the power of American people, even if you invest 50% of one yearly GDP, it is still worthwhile, I anticipate V shape recovery. US has the best scientists, coming with treatment and vaccine. A transient event will pass.
Anthony	14 hours ago	4	7	CAN U IDIOT'S STOP WITH THE UNEMPLOYMENT NUMBERS. THE MARKETS UNDERSTAND THAT ALL THOSE PEOPLE WILL BE BACK TO WORK IN A FEW WEEKS. IT'S A VIRUS NOT A RECESSION
Drew	14 hours ago	8	2	In Communist America.. The Feds drive market.
Johnedahl	14 hours ago	1	2	I'm selling into this market and believe that the day will end down as there is no trading tomorrow and corp earnings will be poor with not guidance.  I think well go down for another week as the new on the virus is still not good.  JMHO
Tom	14 hours ago	2	0	Coordinated effort needed of ALL countries needed to stabilize oil prices and production !OPEC+++++++++ coming
Lorenzo	14 hours ago	2	0	This is america!
Sterling	14 hours ago	5	2	16 million unemployed in 3 weeks. No worries there! I'm sure everything returns to normal when this is all over no problem. We have a Hoover president in office and the likelihood that that will lead to a Democrat FDR candidate (dare I say AOC?) in 2024. We're looking at ten years of economic depression thanks to a government that can't stop helping us to death.But hey some market recovery! 
Jon 2.0	14 hours ago	7	0	I fought the FED and the FED won.
Tom	14 hours ago	2	0	SAUDIS and RUSSIA better get their heads together this time around.They have NO PLACE to store their oil !
Johan	14 hours ago	2	1	I think they are doing this when the know there is alot of puts :)
Rares	14 hours ago	4	1	There are 200 Million people able to work in the US. Basically 10% of that is now unemployed, and only in the past 3 weeks. Who is buying this stupid market? Is it not just the FED buying and selling to itself at this point?
Fraser	14 hours ago	10	2	No Bad news priced in US Stock Market. US Stocks are back in the TULIP MANIA BUBBLE again!NO US Company can go Bankrupt anymore! Even if the Company LOSES $1 trillion per year, FED will Bail it out every months.US Stock Market is a FREE MONEY ATM! Only IDIOTS would work, while the US Government is Giving Away TONS OF MONEY By PUMPING the STOCK PRICES ARTIFICIALLY, while the ECONOMY IS COLLAPSING!
Jeff	14 hours ago	46	3	The market is happy 17 million lost jobs in 3 weeks
Daniel	14 hours ago	5	1	US Stock Market is a FREE MONEY ATM! Only IDIOTS would work, while the US Government is Giving Away TONS OF MONEY By PUMPING the STOCK PRICES ARTIFICIALLY, while the ECONOMY IS COLLAPSING!
Jay	14 hours ago	7	0	Come on....  Damn.  If we lost 10MM jobs, we'd be up 3%-6%.  When everybody has lost their jobs, the S&P500 will be at 50,000.  Fantastic.  BUY
Oldripped	14 hours ago	0	0	How long do you think this can continue (this whole unlimited money injections by the FED thing) until other countries call us on it? Everybody keeps asking "how is the market going up"?  Well, it isn't.  Your dollars just aren't worth anything anymore, and the FED is showing that to the whole world.  The US cannot manage its money, and is training its citizens to adopt the same OK-to-be-indebted mindset.  Struggling now because of yesterday's decisions?? "Who cares! We'll always get a bail out and just not pay that back either."
James	14 hours ago	4	1	Yes dirty FED, keep giving money to Wall street as Main street suffers.
Joemama630	15 hours ago	1	2	historic unemployment pace - and S&P futures are up... makes 0.00 sense.
Justin Y	15 hours ago	5	0	If they get to do whatever they want with the market then we should have unlimited day trades
Jay	15 hours ago	5	1	HYPERINFLATION COMING TO A TOWN NEAR YOU!
Jay	15 hours ago	2	1	Buying more silver and gold....  I will not let them steal my purchasing power for the benefit of the banks and idiots that invested in the market.
Jay	15 hours ago	6	1	So many posts deleted....  Welcome to 1984.
Michael	15 hours ago	3	0	6.6 million6.3 million3.3 millionGolly gee, there seems to be an occultic kabbalistic gematria pattern forming here.
DERKO	15 hours ago	1	1	more free money heeeeee haaaaa!!!
Justin Y	15 hours ago	2	0	Stock manipulation still screwing Americans out of their put options gotta love this country
Razor	15 hours ago	2	0	And mindlessly up again this morning. smh
juancajuanca	15 hours ago	1	0	Temprary income replacement: the stock market.  This is awesome!
Rog	15 hours ago	2	0	You guys keep making the same mistake every Thursday, just stop already. Can't fight the FED
rob s	15 hours ago	5	3	The trillion dollar question: Where is the Fed getting it's money?
Stock	15 hours ago	1	1	Jobs down, market up
Josef	15 hours ago	2	1	even 200 million unemployed will not make market tank  :-)
Valerio	15 hours ago	0	0	Other 2.3 trillions from the FED. Today will be green.
Oliver	17 hours ago	1	0	Today will be like...
K	21 hours ago	3	0	Bull trap on the horizon. Give it another week or so.
Paul	23 hours ago	1	2	TRUMP IS HERE TO STAY. HES GOT HIS SMALL HANDS ON THE PRINTING PRESS. NOTHING CAN STOP AMERICA. BUY USA STONKS
Andy Stacks	23 hours ago	0	0	Wuhan may be celebrating, but another Chinese city has gone into lockdown over coronavirusThe coronavirus lockdown may be over in Wuhan, but in another part of China, it appears to be just getting started.Suifenhe, a city along Chinas northern border with Russia, is now ordering residents to stay inside and only go outside for necessities once every three days, Reuters reports, citing state media.The restrictive measures were issued after provincial health officials reported 25 new coronavirus cases there Tuesday, spurred by people entering China through a border checkpoint.
Paul	23 hours ago	2	4	dont short. Unamerican. BUY ALL-AMERICAN STONKS
